TICKER,SETOR,LIQUIDEZMEDIADIARIA,PVP,MEDIA_YIELD_12M,RENTABILIDADE,NUMERO_COTISTA,PATRIMONIO_LIQUIDO
AAZQ11,Outros,685569.94,0.8386,1.4817,20.5712,29817,206946884.06
AFHI11,Papéis,653506.06,0.9932,1.0783,11.455,42402,424592667.11
AGRX11,Outros,206613.83,0.7937,1.3467,22.9554,19257,183235232.66
AIEC11,Lajes Corporativas,321771.56,0.5801,1.2908,11.5623,17677,375121034.47
AJFI11,Shoppings,849165.67,0.6102,0.9367,7.734,13137,384656303.67
ALZR11,Misto,2601192.94,0.9495,0.92,4.4716,152691,1272157932.15
BARI11,Papéis,417063.0,0.8092,1.2033,20.0464,35633,422905422.31
BBFO11,Fundo de Fundos,377172.33,0.873,1.0658,15.3406,6863,295109143.55
BBGO11,Outros,275821.33,0.7231,1.2242,0.279,11897,369438989.6
BBIG11,Serviços Financeiros Diversos,758458.0,0.7715,1.1836,12.9925,29926,945852548.73
BBPO11,Agências de Bancos,1815419.7,0.8018,0.9842,11.554,68471,1614021771.69
BCIA11,Fundo de Fundos,379367.28,0.9044,0.9942,16.177,24221,360241044.49
BCRI11,Papéis,360215.83,0.7966,1.2875,24.1009,43146,530042757.02
BLMG11,Imóveis Industriais e Logísticos,327358.44,0.4785,1.5417,5.8248,13467,301157029.45
BPFF11,Fundo de Fundos,218694.56,0.8555,1.0425,13.8695,20843,313292654.59
BRCO11,Imóveis Industriais e Logísticos,3006990.94,0.9392,0.8442,22.6823,118309,1882284494.93
BRCR11,Lajes Corporativas,1446527.5,0.498,1.1533,8.386,125898,2312843296.53
BROF11,Lajes Corporativas,642328.67,0.4607,1.1075,26.2563,9467,1271282004.34
BTAL11,Imóveis Industriais e Logísticos,510191.56,0.6878,1.2317,27.7224,39881,667296194.63
BTCI11,Papéis,1470701.94,0.9239,1.0608,16.9706,188924,994700510.87
BTHF11,Papéis,3008113.39,0.8258,1.294,1.6725,325076,2092241998.9
BTLG11,Imóveis Industriais e Logísticos,7000666.44,0.9808,0.8392,15.2495,381638,4497510230.55
BTRA11,Outros,285399.78,0.5374,0.6983,48.9135,13097,374327514.83
CLIN11,Fundo de Fundos,1255407.0,0.9432,1.1767,11.5985,11412,420746984.46
CPSH11,Outros,2085553.39,0.8003,1.11,9.8198,18315,945700503.06
CPTR11,Outros,2388872.44,0.7566,0.9258,3.1482,24399,406207209.81
CPTS11,Papéis,8347458.17,0.8627,1.0983,19.6316,355842,2777278745.42
CRAA11,Outros,591456.44,0.9213,1.1567,13.6182,7852,241076062.0
CVBI11,Papéis,2002616.61,0.9483,1.1683,15.7037,86299,1002223656.44
CYCR11,Outros,567905.17,0.9368,1.2092,15.9993,18538,341401259.58
DEVA11,Papéis,529579.94,0.3164,1.4008,10.5394,91764,1341698497.04
EGAF11,Outros,820870.17,0.9187,1.4483,17.1505,11367,309535216.52
FATN11,Lajes Corporativas,968272.78,0.7949,1.04,-0.0644,17091,416576381.03
FGAA11,Outros,1043908.72,0.9278,1.3083,23.9992,49943,431201584.94
GARE11,Imóveis Industriais e Logísticos,4681368.28,0.9824,1.0525,11.3866,340284,1341945972.3
GGRC11,Imóveis Industriais e Logísticos,4136678.0,0.8977,0.985,10.902,155913,1362276387.14
GSFI11,Shoppings,3364554.67,0.6172,0.0023,0.0276,6712,814995674.03
GTWR11,Lajes Corporativas,1119553.89,0.7022,1.1367,10.6179,36419,1196297496.04
GZIT11,Outros,415357.22,0.536,1.7408,40.2595,6970,1994508889.51
HABT11,Papéis,770736.11,0.8793,1.3292,26.6235,63800,757903182.35
HCTR11,Papéis,833770.5,0.2187,1.7017,-11.6311,143357,2231809858.38
HFOF11,Fundo de Fundos,1207782.5,0.8729,0.9892,14.0496,72852,1576230180.83
HGBS11,Shoppings,2419436.17,0.912,0.8583,11.3863,126920,2782303984.48
HGCR11,Papéis,2266273.67,0.9861,1.05,10.6404,101698,1484646731.61
HGFF11,Fundo de Fundos,285160.83,0.8918,1.0525,15.0058,15483,232455169.41
HGLG11,Imóveis Industriais e Logísticos,6694794.22,0.9813,0.7292,13.5212,499562,5497295245.9
HGRE11,Lajes Corporativas,1859227.78,0.7522,0.8225,25.6691,143234,1822420082.9
HGRU11,Misto,3994544.78,0.9587,0.8625,18.4284,217181,2954515169.0
HSAF11,Papéis,304934.94,0.8922,1.2225,20.1466,9076,221537540.9
HSLG11,Imóveis Industriais e Logísticos,528728.67,0.7746,0.9042,13.0818,41202,1347035563.5
HSML11,Shoppings,1990910.94,0.7883,0.9125,13.4253,190760,2270095987.33
HTMX11,Hotéis,799668.72,0.9645,1.2892,2.8187,37885,420185174.61
ICRI11,Misto,1182049.5,0.9516,1.2625,13.7686,6805,381197588.91
INLG11,Imóveis Industriais e Logísticos,249238.5,0.7404,1.03,13.9877,18133,454205994.28
IRDM11,Papéis,2770049.83,0.8603,1.2125,19.4985,279385,2960463235.13
ITRI11,Shoppings,909785.78,0.9028,1.0158,12.7099,17123,564578952.89
JSAF11,Fundo de Fundos,1727725.0,0.9005,1.1783,10.7852,19841,677401620.98
JSRE11,Misto,1886295.83,0.6323,0.8175,19.9565,89294,2116481937.97
KCRE11,Outros,328185.83,0.9461,1.1133,11.6337,14864,333746878.09
KFOF11,Fundo de Fundos,1198550.89,0.9413,0.9917,19.3709,27173,605090573.83
KISU11,Fundo de Fundos,534989.72,0.8962,0.9742,10.0833,111689,349148307.16
KIVO11,Papéis,465516.78,0.7501,1.3892,8.4849,6600,194273787.77
KNCA11,Outros,2346162.56,0.9298,1.1692,16.869,73050,2206486419.32
KNCR11,Papéis,10560593.94,1.0047,1.0258,9.9893,392197,7788648901.14
KNHF11,Outros,3363458.67,0.9485,1.06,19.0906,43951,1910649960.56
KNHY11,Papéis,2396830.61,1.0241,1.1467,12.4263,25722,2756152545.0
KNIP11,Papéis,5108793.89,0.994,1.0333,12.8748,73091,7254411792.08
KNRI11,Misto,6335892.72,0.9138,0.7283,21.7697,297208,4547151519.19
KNSC11,Papéis,5197504.33,0.9954,1.0842,12.8612,200213,1757299035.18
KNUQ11,Outros,2679680.67,1.0082,1.1175,12.1959,37542,1550451913.25
KORE11,Lajes Corporativas,1824529.11,0.7951,1.49,21.5139,22968,1019051422.58
LIFE11,Imóveis Comerciais - Outros,607746.56,0.8818,1.5,7.3736,15643,371917406.01
LVBI11,Imóveis Industriais e Logísticos,2254811.22,0.8206,0.8417,14.4391,131797,2011420258.51
MALL11,Shoppings,2780259.28,0.8414,0.8292,15.3206,128729,1701866054.77
MCCI11,Papéis,2762325.17,0.92,1.0433,16.8479,102695,1563930061.85
MCHY11,Papéis,4789731.61,0.7158,1.1575,-21.9389,93666,1060212799.64
MCRE11,Papéis,3035362.17,0.8866,1.31,33.9977,82504,1131059679.93
MFII11,Fundo de Desenvolvimento,802963.78,0.8213,1.3183,4.9023,33260,546704615.94
MXRF11,Papéis,10865602.17,1.0043,1.0383,10.1442,1280849,4052118592.96
NEWL11,Imóveis Industriais e Logísticos,373617.28,0.7765,0.9517,3.6248,9256,520442425.43
OUFF11,Fundo de Fundos,264340.11,0.9575,0.2733,-4.01,8102,142517935.82
OUJP11,Papéis,407128.39,0.7899,1.27,16.1298,25288,320684895.6
OURE11,Misto,224923.68,1.2255,0.3233,19.4212,8102,108172369.31
PATL11,Imóveis Industriais e Logísticos,436789.17,0.512,1.1525,17.3885,25517,482034598.28
PLAG11,Outros,772922.06,0.78,1.0342,18.6525,17017,305692215.5
PLCR11,Papéis,327659.0,0.8704,1.0642,16.6995,14985,191932714.5
PMIS11,Misto,286679.83,0.8607,1.1883,4.6714,7276,134952031.28
PORD11,Papéis,565581.06,0.8607,1.1325,19.4889,40198,356192909.97
PVBI11,Lajes Corporativas,3699151.11,0.7439,0.7142,16.1772,159981,2844548333.82
QAGR11,Outros,258464.62,0.7705,1.0292,15.1087,17348,305270267.01
RBFF11,Fundo de Fundos,373206.28,0.8725,0.9983,11.1362,24881,220749216.69
RBHG11,Papéis,222711.94,0.7948,1.1758,-0.9365,9764,187203521.7
RBRF11,Fundo de Fundos,1889133.72,0.8517,1.0625,15.2639,122865,1153137697.07
RBRL11,Imóveis Industriais e Logísticos,482199.17,0.7465,1.0433,18.9334,13769,705294997.19
RBRP11,Lajes Corporativas,1166214.22,0.6534,1.09,-3.9249,70262,915122226.11
RBRR11,Papéis,2272426.67,0.9541,1.08,12.7836,122583,1361748295.7
RBRX11,Outros,429299.78,0.8421,1.125,19.4941,12650,281844900.18
RBRY11,Papéis,2267287.11,0.9724,1.1342,25.356,60170,1231799238.82
