TICKER,SETOR,LIQUIDEZMEDIADIARIA,PVP,MEDIA_YIELD_12M,RENTABILIDADE,NUMERO_COTISTA,PATRIMONIO_LIQUIDO,diversidade_score
BRCR11,Lajes Corporativas,1446527.5,0.498,1.1533,8.386,125898,2312843296.53,139.36721108304272
XPML11,Shoppings,11558178.89,0.9118,0.9233,15.956,588620,6648002647.46,121.86793141028406
VGIA11,Outros,1617741.72,0.9294,1.4958,25.0863,168730,832994031.88,102.84114385626376
VGIR11,Papéis,8111822.17,0.9672,1.2117,19.0262,248586,1423918121.46,90.17956979095072
CPTS11,Papéis,8347458.17,0.8627,1.0983,19.6316,355842,2777278745.42,85.05649373775175
BTLG11,Imóveis Industriais e Logísticos,7000666.44,0.9808,0.8392,15.2495,381638,4497510230.55,81.30635148841577
HGRE11,Lajes Corporativas,1859227.78,0.7522,0.8225,25.6691,143234,1822420082.9,76.16611988628128
VILG11,Imóveis Industriais e Logísticos,1673256.06,0.7666,0.815,24.1844,146948,1690328197.72,74.83375811098662
BTHF11,Papéis,3008113.39,0.8258,1.294,1.6725,325076,2092241998.9,73.10781507781522
RECR11,Papéis,2547911.28,0.9649,1.2792,26.5366,166836,2349303928.77,71.09444360535232
